_id,sponsor_clean,sponsor_parent,sponsor_group,sponsor_type,match_status
2009-017378-19-ES,Dr. Gerhard Mann chem.-pharm. Fabrik GmbH,NA,NA,unknown,accepted
2009-017379-90-IT,Azienda Ospedaliera Senese,NA,NA,unknown,accepted
2009-017380-42-BE,Almirall,Almirall S.A.,Almirall S.A.,industry,accepted
2009-017384-42-NL,Leiden University Medical Center,NA,NA,hospital,accepted
2009-017387-16-FR,Novo Nordisk,Novo Nordisk,Novo Nordisk,industry,accepted
2009-017388-41-FR,Laboratoires Thea,NA,NA,industry,accepted
2009-017396-19-BE,BMS,Bristol-Myers Squibb,BMS,industry,accepted
2009-017398-39-GB,Helperby Thearapeutics,NA,NA,industry,accepted
2009-017400-91-GB,Renovo,NA,NA,industry,accepted
2009-017401-11-FR,CHU de Reims,NA,NA,unknown,accepted
2009-017402-36-ES,Instituto Cientfico y Tecnolgico de Navarra,NA,NA,unknown,accepted
2009-017405-11-ES,Fundacin Teknon,NA,NA,unknown,accepted
2009-017407-28-DE,Almirall Hermal,NA,NA,industry,accepted
2009-017412-32-IT,Azienda Ospedaliero-Universitaria Ospedali Riuniti Umberto I - G.M. Lancisi - G. Salesi,NA,NA,unknown,accepted
2009-017415-16-DE,Dr. August Wolff GmbH & Co. KG Arzneimittel,NA,NA,industry,accepted
2009-017416-33-DE,"Clinical research lab for neurodegeneration, Dept. of Neurology, St. Josef-Hospital, Ruhr-University",NA,NA,hospital,accepted
2009-017418-56-DE,Birken,NA,NA,industry,accepted
2009-017420-75-DK,Joergen B Dahl,NA,NA,unknown,accepted
2009-017422-39-BE,EORTC,EORTC,EORTC,cooperative_group,accepted
2009-017425-19-BE,Universitair Ziekenhuis Gent,University Hospital Ghent,University Hospital Ghent,hospital,accepted
2009-017428-17-IT,Azienda Ospedaliera Ordine Mauriziano,NA,NA,unknown,accepted
2009-017429-21-ES,Vall D'hebron Institut De Recerca,NA,NA,hospital,accepted
2009-017430-49-ES,Dr. Gerhard Mann chem.-pharm. Fabrik GmbH,NA,NA,unknown,accepted
2009-017432-40-AT,MOLOGEN,NA,NA,industry,accepted
2009-017434-45-ES,InfaCare Pharmaceutical,NA,NA,industry,accepted
2009-017435-18-FR,Steba Biotech,NA,NA,industry,accepted
2009-017437-22-IT,Azienda Ospedaliera di Perugia,NA,NA,unknown,accepted
2009-017438-32-BE,Vertex Pharmaceuticals,Vertex Pharmaceuticals,Vertex Pharmaceuticals,industry,accepted
2009-017440-13-ES,Fundacin PETHEMA,NA,NA,unknown,accepted
2009-017441-63-IT,U.O. Ginecologia e Ostetricia,NA,NA,unknown,accepted
2009-017443-34-BE,Roche,Roche,Roche,industry,accepted
2009-017448-15-IT,ISTITUTO NEUROLOGICO MEDITERRANEO NEUROMED,NA,NA,unknown,accepted
2009-017449-72-IT,Fred Hutchinson Cancer Research Center,NA,NA,unknown,accepted
2009-017454-12-DE,University of Cincinnati,NA,NA,unknown,accepted
2009-017458-11-DE,Charité Universitätsmedizin Berlin,Charité Universitätsmedizin Berlin,Charité Universitätsmedizin Berlin,unknown,accepted
2009-017463-41-FR,CHU de Rouen,NA,NA,hospital,accepted
2009-017464-17-IT,Azienda Ospedaliera Istituti Ospitalieri di Verona,NA,NA,unknown,accepted
2009-017467-42-ES,Servicio Enfermedades Infecciosas,NA,NA,unknown,accepted
2009-017468-18-ES,Bioibrica,NA,NA,industry,accepted
2009-017470-20-FR,Grünenthal,Grünenthal,Grünenthal,industry,accepted
2009-017472-25-DE,Universitätsklinikum Schleswig-Holstein,NA,NA,unknown,accepted
2009-017477-38-DE,GSK,GSK,GSK,industry,accepted
2009-017479-29-DE,Eli Lilly,Eli Lilly,Eli Lilly,industry,accepted
2009-017480-42-GB,Synairgen Research,NA,NA,industry,accepted
2009-017481-23-DK,SmartPractice,NA,NA,industry,accepted
2009-017485-23-BE,EORTC,EORTC,EORTC,cooperative_group,accepted
2009-017487-16-AT,Alnylam Pharmaceuticals,NA,NA,industry,accepted
2009-017488-40-BE,Roche,Roche,Roche,industry,accepted
2009-017490-38-DE,Biogen,Biogen,Biogen,industry,accepted
2009-017498-39-GB,University Of Oxford,NA,NA,unknown,accepted
2009-017499-26-NL,Amsterdam UMC,NA,NA,unknown,accepted
2009-017503-29-BE,Novartis,Novartis,Novartis,industry,accepted
2009-017520-88-DE,Dresden University of Technology,NA,NA,unknown,accepted
2009-017523-26-BE,Lundbeck,Lundbeck,Lundbeck,industry,accepted
2009-017524-36-HU,"Forest Research Institute, Inc.",NA,NA,industry,accepted
2009-017525-19-IE,Amsterdam UMC,NA,NA,hospital,accepted
2009-017537-21-GB,Portsmouth Hospitals Trust,NA,NA,hospital,accepted
2009-017540-13-GB,Clinical Trials and Research Governance,NA,NA,unknown,accepted
2009-017581-22-DE,Charité Universitätsmedizin Berlin,Charité Universitätsmedizin Berlin,Charité Universitätsmedizin Berlin,charity,accepted
2009-017582-29-IT,Consorzio Mario Negri Sud,NA,NA,unknown,accepted
2009-017587-16-GB,Barts Health NHS Trust,NA,NA,hospital,accepted
2009-017589-22-BE,Universitair Ziekenhuis Gent,University Hospital Ghent,University Hospital Ghent,hospital,accepted
2009-017591-24-BE,Eli Lilly,Eli Lilly,Eli Lilly,industry,accepted
2009-017594-37-DE,Novartis,Novartis,Novartis,industry,accepted
2009-017595-25-DE,NA,NA,NA,hospital,review
2009-017596-26-IT,Fondazione GONO,NA,NA,unknown,accepted
2009-017599-26-IT,Centro per la Prevenzione e Cura del Tabagismo,NA,NA,unknown,accepted
2009-017600-89-ES,Asociación para la Investigación de Nefrología Infantil,NA,NA,unknown,accepted
2009-017603-28-IT,Azienda Ospedaliera di Perugia,NA,NA,unknown,accepted
2009-017619-14-DK,Regionshospitalet Holstebro,NA,NA,unknown,accepted
2009-017620-11-NL,Scheper Ziekenhuis,NA,NA,hospital,accepted
2009-017622-39-SI,Clinical Center Ljubljana,NA,NA,unknown,accepted
2009-017624-72-ES,Instituto Cientfico y Tecnolgico de Navarra,NA,NA,unknown,accepted
2009-017625-20-FI,Pawel Florkiewicz,NA,NA,unknown,accepted
2009-017626-39-FI,Hospital District of Southwest Finland,NA,NA,hospital,accepted
2009-017636-41-GB,Imperial College London,Imperial College London,Imperial College London,academic,accepted
2009-017640-13-IT,ISTITUTI ORTOPEDICI RIZZOLI,NA,NA,unknown,accepted
2009-017642-32-DK,Odense University Hospital,NA,NA,hospital,accepted
2009-017647-34-GB,Helperby Therapeutics,NA,NA,industry,accepted
2009-017649-67-IE,The Central Remedial Clinic and The Childrens University Hospital,NA,NA,hospital,accepted
2009-017658-11-DE,Vifor Pharma,NA,NA,industry,accepted
2009-017659-83-SI,BGP Kranj,NA,NA,unknown,accepted
2009-017661-34-AT,Boehringer Ingelheim,Boehringer Ingelheim,Boehringer Ingelheim,industry,accepted
2009-017663-42-IT,G.I.M.E.M.A. Gruppo Italiano Malattie Ematologiche dell'Adulto,NA,NA,unknown,accepted
2009-017664-16-FR,BIOTRONIK France,NA,NA,industry,accepted
2009-017665-31-IT,Azienda Ospedaliero Universitaria Maggiore della Carità di Novara,NA,NA,unknown,accepted
2009-017666-23-DE,Sanofi,Sanofi,Sanofi,industry,accepted
2009-017668-18-BE,Millennium Pharmaceuticals,Takeda,Takeda,industry,accepted
2009-017669-44-DE,GSK,GSK,GSK,industry,accepted
