raw_sponsor,sponsor_clean,sponsor_parent,sponsor_group,sponsor_type,match_status,match_score,match_source,match_reason,suggested_clean,n_trials
Bial R&D Investments S.A.,Bial R&D Investments,NA,NA,unknown,accepted,99,llm_reviewed,alias match: 'bial r and d investments s a' → 'Bial R&D Investments',Bial R&D Investments,2
AvenCell Europe GmbH,AvenCell Europe,NA,NA,unknown,accepted,99,llm_reviewed,alias match: 'avencell europe gmbh' → 'AvenCell Europe',AvenCell Europe,2
Abcuro Inc.,Abcuro,NA,NA,unknown,accepted,99,llm_reviewed,alias match: 'abcuro inc' → 'Abcuro',Abcuro,2
Allogene Therapeutics Inc.,Allogene Therapeutics,NA,NA,unknown,accepted,99,llm_reviewed,alias match: 'allogene therapeutics inc' → 'Allogene Therapeutics',Allogene Therapeutics,2
Intergroupe Francophone de Cancerologie Thoracique,Intergroupe Francophone de Cancerologie Thoracique,NA,NA,NA,accepted,94,ctis_businesskey,alias match: 'intergroupe francophone de cancerologie thoracique' → 'Intergroupe Francophone de Cancerologie Thoracique',Intergroupe Francophone de Cancerologie Thoracique,2
Connecta Therapeutics S.L.,Connecta Therapeutics,NA,NA,unknown,accepted,99,llm_reviewed,alias match: 'connecta therapeutics s l' → 'Connecta Therapeutics',Connecta Therapeutics,2
SpectraCure AB (publ),SpectraCure,NA,NA,unknown,accepted,99,llm_reviewed,alias match: 'spectracure ab publ' → 'SpectraCure',SpectraCure,2
Klinikum Der Universitat Munchen AöR,Klinikum Der Universitat Munchen AöR,NA,NA,hospital,accepted,95,final_family_map,entity-family match: munchen hospital → 'Klinikum Der Universitat Munchen AöR',Klinikum Der Universitat Munchen AöR,2
Centre Leon Berard / Centre Leon Berard,Centre Léon Bérard,NA,NA,hospital,accepted,99,manual,alias match: 'centre leon berard / centre leon berard' → 'Centre Léon Bérard',Centre Léon Bérard,2
Boehringer Ingelheim International GmbH / Boehringer Ingelheim RCV GmbH & Co. KG,Boehringer Ingelheim,Boehringer Ingelheim,Boehringer Ingelheim,industry,accepted,94,manual,alias match: 'boehringer ingelheim' → 'Boehringer Ingelheim',Boehringer Ingelheim,2
Fundacion Para La Formacion E Investigacion Sanitaria De La Region De Murcia / Fundacion Para La Formacion E Investigacion Sanitaria De La Region De Murcia,Fundación para la Formación e Investigación Sanitarias de la Región de Murcia,NA,NA,foundation,accepted,95,final_family_map,entity-family match: para formacion sanitaria region murcia foundation → 'Fundación para la Formación e Investigación Sanitarias de la Región de Murcia',Fundación para la Formación e Investigación Sanitarias de la Región de Murcia,2
Regentree LLC,Regentree,NA,NA,unknown,accepted,99,llm_reviewed,alias match: 'regentree llc' → 'Regentree',Regentree,2
Grupo Espanol De Investigacion En Cancer De Mama,Grupo Espanol De Investigacion En Cancer De Mama,NA,NA,NA,accepted,94,ctis_businesskey,alias match: 'grupo espanol de investigacion en cancer de mama' → 'Grupo Espanol De Investigacion En Cancer De Mama',Grupo Espanol De Investigacion En Cancer De Mama,2
Sairopa B.V.,Sairopa,NA,NA,unknown,accepted,99,llm_reviewed,alias match: 'sairopa b v' → 'Sairopa',Sairopa,2
Bayer AG / Bayer AG,Bayer,Bayer,Bayer,industry,accepted,96,manual,alias match: 'bayer' → 'Bayer',Bayer,2
Agomab Spain S.L.U.,Agomab Spain,NA,NA,NA,accepted,94,ctis_businesskey,alias match: 'agomab spain s l u' → 'Agomab Spain',Agomab Spain,2
Sling Therapeutics Inc.,Sling Therapeutics,NA,NA,unknown,accepted,99,llm_reviewed,alias match: 'sling therapeutics inc' → 'Sling Therapeutics',Sling Therapeutics,2
Apcintex Limited,Apcintex,NA,NA,unknown,accepted,99,llm_reviewed,alias match: 'apcintex limited' → 'Apcintex',Apcintex,2
Salix Pharmaceuticals Inc.,Salix Pharmaceuticals,NA,NA,unknown,accepted,99,llm_reviewed,alias match: 'salix pharmaceuticals inc' → 'Salix Pharmaceuticals',Salix Pharmaceuticals,2
Moderna Therapeutics Inc.,Moderna,NA,NA,unknown,accepted,94,ctis_businesskey,alias match: 'moderna therapeutics inc' → 'Moderna',Moderna,2
Vedanta Biosciences Inc.,Vedanta Biosciences,NA,NA,unknown,accepted,99,llm_reviewed,alias match: 'vedanta biosciences inc' → 'Vedanta Biosciences',Vedanta Biosciences,2
Rheinische Friedrich Wilhelms Universitaet Bonn,Rheinische Friedrich-Wilhelms-Universität Bonn,NA,NA,unknown,accepted,94,ctis_businesskey,alias match: 'rheinische friedrich wilhelms universitaet bonn' → 'Rheinische Friedrich-Wilhelms-Universität Bonn',Rheinische Friedrich-Wilhelms-Universität Bonn,2
Sumitomo Pharma Co. Ltd.,Sumitomo Pharma,NA,NA,unknown,accepted,99,llm_reviewed,alias match: 'sumitomo pharma co ltd' → 'Sumitomo Pharma',Sumitomo Pharma,2
Ngm Biopharmaceuticals Inc.,NGM Biopharmaceuticals,NA,NA,unknown,accepted,99,manual,alias match: 'ngm biopharmaceuticals inc' → 'NGM Biopharmaceuticals',NGM Biopharmaceuticals,2
Bristol-Myers Squibb Services Unlimited Company / Bristol-Myers Squibb Services Unlimited Company,BMS,Bristol-Myers Squibb,BMS,industry,accepted,95,manual,alias match: 'bristol-myers squibb' → 'BMS',BMS,2
Azienda Ospedaliera Ordine Mauriziano Di Torino,Azienda Ospedaliera Ordine Mauriziano Di Torino,NA,NA,unknown,accepted,99,llm_reviewed,alias match: 'azienda ospedaliera ordine mauriziano di torino' → 'Azienda Ospedaliera Ordine Mauriziano Di Torino',Azienda Ospedaliera Ordine Mauriziano Di Torino,2
Immatics Biotechnologies GmbH,Immatics Biotechnologies,NA,NA,unknown,accepted,99,llm_reviewed,alias match: 'immatics biotechnologies gmbh' → 'Immatics Biotechnologies',Immatics Biotechnologies,2
Charite Research Organisation GmbH,Charité Research Organisation,NA,NA,unknown,accepted,99,llm_reviewed,alias match: 'charite research organisation gmbh' → 'Charité Research Organisation',Charité Research Organisation,2
Institute Of Hematology And Blood Transfusion,Institute Of Hematology And Blood Transfusion,NA,NA,unknown,accepted,95,final_family_map,entity-family match: hematology blood transfusion institute → 'Institute Of Hematology And Blood Transfusion',Institute Of Hematology And Blood Transfusion,2
Nodthera Limited,Nodthera,NA,NA,unknown,accepted,99,llm_reviewed,alias match: 'nodthera limited' → 'Nodthera',Nodthera,2
Rezolute Inc.,Rezolute,NA,NA,unknown,accepted,99,llm_reviewed,alias match: 'rezolute inc' → 'Rezolute',Rezolute,2
