"register","raw","normalised","n_trials","changed"
"EUCTR","100000004852 / 10007541 - Cardiac disorders","Nervous system disorders / Cardiac disorders",2,TRUE
"EUCTR","100000004852 / 10037175 - Psychiatric disorders","Nervous system disorders / Psychiatric disorders",2,TRUE
"EUCTR","100000004853 / 100000004855","Eye disorders / Respiratory, thoracic and mediastinal disorders",2,TRUE
"EUCTR","100000004853 / 100000004862","Eye disorders / Infections and infestations",2,TRUE
"EUCTR","100000004855 / 100000004862","Respiratory, thoracic and mediastinal disorders / Infections and infestations",2,TRUE
"EUCTR","100000004856 / 100000004862","Gastrointestinal disorders / Infections and infestations",2,TRUE
"EUCTR","100000004856 / 100000004871","Gastrointestinal disorders / Hepatobiliary disorders",2,TRUE
"EUCTR","100000004856 / 100000016670","Gastrointestinal disorders",2,TRUE
"EUCTR","100000004856 / 10042613 - Surgical and medical procedures","Gastrointestinal disorders / Surgical and medical procedures",2,TRUE
"EUCTR","100000004857 / 100000004865","Renal and urinary disorders / Surgical and medical procedures",2,TRUE
"EUCTR","100000004857 / 10028395 - Musculoskeletal and connective tissue disorders","Renal and urinary disorders / Musculoskeletal and connective tissue disorders",2,TRUE
"EUCTR","100000004859 / 100000018188","Musculoskeletal and connective tissue disorders",2,TRUE
"EUCTR","100000004859 / 10029205 - Nervous system disorders","Musculoskeletal and connective tissue disorders / Nervous system disorders",2,TRUE
"EUCTR","100000004859 / 10040785 - Skin and subcutaneous tissue disorders","Musculoskeletal and connective tissue disorders / Skin and subcutaneous tissue disorders",2,TRUE
"EUCTR","100000004860 / 10014698 - Endocrine disorders","Endocrine disorders",2,TRUE
"EUCTR","100000004861 / 10007541 - Cardiac disorders","Metabolism and nutrition disorders / Cardiac disorders",2,TRUE
"EUCTR","100000004863 / 100000004865 / 100000004870","Injury, poisoning and procedural complications / Surgical and medical procedures / Immune system disorders",2,TRUE
"EUCTR","100000004863 / 10022117 - Injury, poisoning and procedural complications","Injury, poisoning and procedural complications",2,TRUE
"EUCTR","100000004864 / 10022891 - Investigations","Neoplasms benign, malignant and unspecified (incl cysts and polyps) / Investigations",2,TRUE
"EUCTR","100000004864 / 10028395 - Musculoskeletal and connective tissue disorders","Neoplasms benign, malignant and unspecified (incl cysts and polyps) / Musculoskeletal and connective tissue disorders",2,TRUE
"EUCTR","100000004864 / 10038604 - Reproductive system and breast disorders","Neoplasms benign, malignant and unspecified (incl cysts and polyps) / Reproductive system and breast disorders",2,TRUE
"EUCTR","100000004865 / 10007541 - Cardiac disorders","Surgical and medical procedures / Cardiac disorders",2,TRUE
"EUCTR","100000004865 / 10014698 - Endocrine disorders","Surgical and medical procedures / Endocrine disorders",2,TRUE
"EUCTR","100000004865 / 10042613 - Surgical and medical procedures","Surgical and medical procedures",2,TRUE
"EUCTR","100000004869","Social circumstances",2,TRUE
"EUCTR","100000004870 / 10021428 - Immune system disorders","Immune system disorders",2,TRUE
"EUCTR","100000004870 / 10028395 - Musculoskeletal and connective tissue disorders","Immune system disorders / Musculoskeletal and connective tissue disorders",2,TRUE
"EUCTR","100000004871 / 10029104 - Neoplasms benign, malignant and unspecified incl cysts and polyps","Hepatobiliary disorders / Neoplasms benign, malignant and unspecified (incl cysts and polyps)",2,TRUE
"EUCTR","100000004872 / 10022891 - Investigations","Reproductive system and breast disorders / Investigations",2,TRUE
"EUCTR","100000004872 / 10029104 - Neoplasms benign, malignant and unspecified incl cysts and polyps","Reproductive system and breast disorders / Neoplasms benign, malignant and unspecified (incl cysts and polyps)",2,TRUE
"EUCTR","100000004873 / 10029205 - Nervous system disorders","Psychiatric disorders / Nervous system disorders",2,TRUE
"EUCTR","100000004873 / 10029205 - Nervous system disorders / 10037175 - Psychiatric disorders","Psychiatric disorders / Nervous system disorders",2,TRUE
"EUCTR","100000012950",NA,2,TRUE
"EUCTR","100000015470",NA,2,TRUE
"EUCTR","100000016670",NA,2,TRUE
"EUCTR","100000016693",NA,2,TRUE
"EUCTR","100000016864 / 10029104 - Neoplasms benign, malignant and unspecified incl cysts and polyps","Neoplasms benign, malignant and unspecified (incl cysts and polyps)",2,TRUE
"EUCTR","100000054086",NA,2,TRUE
"EUCTR","100000072461",NA,2,TRUE
"EUCTR","10007541 - Cardiac disorders / 10027433 - Metabolism and nutrition disorders","Cardiac disorders / Metabolism and nutrition disorders",2,TRUE
"EUCTR","10007541 - Cardiac disorders / 10029205 - Nervous system disorders","Cardiac disorders / Nervous system disorders",2,TRUE
"EUCTR","10007541 - Cardiac disorders / 10047065 - Vascular disorders","Cardiac disorders / Vascular disorders",2,TRUE
"EUCTR","10010331 - Congenital, familial and genetic disorders / 10014698 - Endocrine disorders","Congenital, familial and genetic disorders / Endocrine disorders",2,TRUE
"EUCTR","10010331 - Congenital, familial and genetic disorders / 10022891 - Investigations","Congenital, familial and genetic disorders / Investigations",2,TRUE
"EUCTR","10010331 - Congenital, familial and genetic disorders / 10029104 - Neoplasms benign, malignant and unspecified incl cysts and polyps","Congenital, familial and genetic disorders / Neoplasms benign, malignant and unspecified (incl cysts and polyps)",2,TRUE
"EUCTR","10010331 - Congenital, familial and genetic disorders / 10038738 - Respiratory, thoracic and mediastinal disorders","Congenital, familial and genetic disorders / Respiratory, thoracic and mediastinal disorders",2,TRUE
"EUCTR","10014698 - Endocrine disorders / 10029205 - Nervous system disorders","Endocrine disorders / Nervous system disorders",2,TRUE
"EUCTR","10017947 - Gastrointestinal disorders / 10021428 - Immune system disorders","Gastrointestinal disorders / Immune system disorders",2,TRUE
"EUCTR","10017947 - Gastrointestinal disorders / 10028395 - Musculoskeletal and connective tissue disorders","Gastrointestinal disorders / Musculoskeletal and connective tissue disorders",2,TRUE
"EUCTR","10021428 - Immune system disorders / 10047065 - Vascular disorders","Immune system disorders / Vascular disorders",2,TRUE
"EUCTR","10021881 - Infections and infestations / 10029104 - Neoplasms benign, malignant and unspecified incl cysts and polyps","Infections and infestations / Neoplasms benign, malignant and unspecified (incl cysts and polyps)",2,TRUE
"EUCTR","10022117 - Injury, poisoning and procedural complications / 10037175 - Psychiatric disorders","Injury, poisoning and procedural complications / Psychiatric disorders",2,TRUE
"EUCTR","10022891 - Investigations / 10029205 - Nervous system disorders","Investigations / Nervous system disorders",2,TRUE
"EUCTR","10027433 - Metabolism and nutrition disorders / 10047065 - Vascular disorders","Metabolism and nutrition disorders / Vascular disorders",2,TRUE
