"canonical_suggestion","sponsor_a","sponsor_b","n_a","n_b","total_n","similarity_score","token_overlap","key_a","key_b","informative_common","suggested_pattern","suggested_match_type","approved","notes"
"Universittsklinikum Essen","Universittsklinikum Essen","Universittsklinikum Ulm",23,15,38,0.8,0.5,"universittsklinikum essen","universittsklinikum ulm","universittsklinikum","Universittsklinikum Ulm","exact",FALSE,""
"Centre Hospitalier Regional Universitaire De Tours","Centre Hospitalier Regional Universitaire De Tours","Centre Hospitalier Universitaire De Liege",28,10,38,0.682,0.75,"center hospitalier regional university tours","center hospitalier university liege","hospitalier","Centre Hospitalier Universitaire De Liege","exact",FALSE,""
"Hull And East Yorkshire Hospitals NHS Trust","Hull And East Yorkshire Hospitals NHS Trust","Hull And East Yorkshire Nhs Trust",33,5,38,0.679,1,"hull east yorkshire hospital","hull east yorkshire","hull / east / yorkshire","Hull And East Yorkshire Nhs Trust","exact",FALSE,""
"AZIENDA OSPEDALIERA L. SACCO A.O. DI RILIEVO NAZIONALE","AZIENDA OSPEDALIERA L. SACCO A.O. DI RILIEVO NAZIONALE","AZIENDA OSPEDALIERA OSPEDALE NIGUARDA CA GRANDA A.O. DI RILIEVO NAZIONALE",21,17,38,0.657,0.714,"azienda ospedaliera l sacco o rilievo nazionale","azienda ospedaliera ospedale niguarda ca granda o rilievo nazionale","o / rilievo / nazionale","AZIENDA OSPEDALIERA OSPEDALE NIGUARDA CA GRANDA A.O. DI RILIEVO NAZIONALE","exact",FALSE,""
"Uppsala University","Uppsala University","Uppsala University Hospital",21,16,37,0.667,1,"uppsala university","uppsala university hospital","uppsala","Uppsala University Hospital","exact",FALSE,""
"Centre Hospitalier Regional Universitaire De Tours","Centre Hospitalier Regional Universitaire De Tours","Centre Hospitalier Universitaire De Poitiers",28,8,36,0.682,0.75,"center hospitalier regional university tours","center hospitalier university poitiers","hospitalier","Centre Hospitalier Universitaire De Poitiers","exact",FALSE,""
"Universita Campus Biomedico","Universita Campus Biomedico","Universit Campus Bio-Medico Di Roma",26,9,35,0.781,0.333,"university campus biomedico","universit campus bio medico roma","campus","Universit Campus Bio-Medico Di Roma","exact",FALSE,""
"Centre Hospitalier Universitaire Amiens Picardie","Centre Hospitalier Universitaire Amiens Picardie","Centre Hospitalier Universitaire De Liege",24,10,34,0.733,0.75,"center hospitalier university amiens picardie","center hospitalier university liege","hospitalier","Centre Hospitalier Universitaire De Liege","exact",FALSE,""
"Centre Hospitalier Regional Universitaire De Tours","Centre Hospitalier Regional Universitaire De Tours","Centre Hospitalier Universitaire De Reims",28,6,34,0.705,0.75,"center hospitalier regional university tours","center hospitalier university reims","hospitalier","Centre Hospitalier Universitaire De Reims","exact",FALSE,""
"University Hospital Heidelberg","University Hospital Heidelberg","University Of Heidelberg",18,16,34,0.7,1,"university hospital heidelberg","university heidelberg","heidelberg","University Of Heidelberg","exact",FALSE,""
"Centre Hospitalier Regional Universitaire De Tours","Centre Hospitalier Regional Universitaire De Tours","Centre Hospitalier Universitaire De Nancy",28,6,34,0.682,0.75,"center hospitalier regional university tours","center hospitalier university nancy","hospitalier","Centre Hospitalier Universitaire De Nancy","exact",FALSE,""
"Centre Hospitalier Regional Universitaire De Tours","Centre Hospitalier Regional Universitaire De Tours","Centre Hospitalier Universitaire Brugmann",28,6,34,0.636,0.75,"center hospitalier regional university tours","center hospitalier university brugmann","hospitalier","Centre Hospitalier Universitaire Brugmann","exact",FALSE,""
"Centre Hospitalier Regional Universitaire De Tours","Centre Hospitalier Regional Universitaire De Tours","Centre Hospitalier Universitaire De Besanon",28,6,34,0.636,0.75,"center hospitalier regional university tours","center hospitalier university besanon","hospitalier","Centre Hospitalier Universitaire De Besanon","exact",FALSE,""
"Universittsklinikum Essen","Universittsklinikum Essen","Universittsklinikum Tbingen",23,10,33,0.815,0.5,"universittsklinikum essen","universittsklinikum tbingen","universittsklinikum","Universittsklinikum Tbingen","exact",FALSE,""
"Hospital Universitario La Paz","Hospital Universitario La Paz","Fundacin Para La Investigacin Biomdica Del Hospital Universitario La Paz",22,11,33,0.39,1,"hospital university paz","fundacin para investigacin biomdica hospital university paz","paz","Fundacin Para La Investigacin Biomdica Del Hospital Universitario La Paz","exact",FALSE,""
