raw_substance,n_trials,reason
103 mg,1,only dose/form/unit language remains after stripping
1073,1,only dose/form/unit language remains after stripping
10mg,1,only dose/form/unit language remains after stripping
10ml,1,only dose/form/unit language remains after stripping
10ml oplossing voor injectie,1,only dose/form/unit language remains after stripping
119302-91-9,1,only dose/form/unit language remains after stripping
1194,1,only dose/form/unit language remains after stripping
12 micrograms,1,only dose/form/unit language remains after stripping
12 micrograms inhalation powder,1,only dose/form/unit language remains after stripping
"12, 400 microgram",1,only dose/form/unit language remains after stripping
1299,1,only dose/form/unit language remains after stripping
"13,6 mg",1,only dose/form/unit language remains after stripping
"136 micrograms inhalation powder, hard capsules",1,only dose/form/unit language remains after stripping
139481-59-7,1,only dose/form/unit language remains after stripping
146368,1,only dose/form/unit language remains after stripping
15 mg,1,only dose/form/unit language remains after stripping
15 mg film-coated tablets,1,only dose/form/unit language remains after stripping
150 mg film-coated tablets,1,only dose/form/unit language remains after stripping
150 mg filmcoated tablets,1,only dose/form/unit language remains after stripping
15ml,1,only dose/form/unit language remains after stripping
16 ml,1,only dose/form/unit language remains after stripping
160 mg hard capsules,1,only dose/form/unit language remains after stripping
"160 mg, comprimé",1,only dose/form/unit language remains after stripping
18,1,shorter than 3 characters
1mL solution for infusion,1,only dose/form/unit language remains after stripping
1mL solution for injection in pre-filled syringe,1,only dose/form/unit language remains after stripping
1ml,1,only dose/form/unit language remains after stripping
1ml Oplossing voor injectie,1,only dose/form/unit language remains after stripping
1ml solution injectable,1,only dose/form/unit language remains after stripping
"2 mL), solution injectable",1,only dose/form/unit language remains after stripping
2 ml (30 IU) solution for injection.,1,only dose/form/unit language remains after stripping
2 ml Injection.,1,only dose/form/unit language remains after stripping
2 ml Konzentrat zur Herstellung einer Injektionslösung,1,only dose/form/unit language remains after stripping
2 ml solution injectable,1,only dose/form/unit language remains after stripping
"2 ml, solution injectable en ampoule",1,only dose/form/unit language remains after stripping
"2,5ml, solution injectable (IM",1,only dose/form/unit language remains after stripping
2.5 g solution for inhalation,1,only dose/form/unit language remains after stripping
2.5 mg,1,only dose/form/unit language remains after stripping
