raw_sponsor,block_id,n_trials,block_size
Merck Sharp  Dohme Corp.,blk_00005,15,40
NOVARTIS VACCINES AND DIAGNOSTICS S.R.L.,blk_00001,15,40
Orion Corporation,blk_00256,15,8
Region Uppsala,blk_00210,15,34
Sanofi-aventis Recherche  Dveloppement,blk_00033,15,40
St. Antonius Hospital,blk_00257,15,8
Takeda Global Research  Development Centre Europe Ltd.,blk_00046,15,38
UCB Pharma S.A.,blk_00106,15,40
Universittsklinikum Ulm,blk_00258,15,11
Vifor International Inc.,blk_00259,15,11
Zealand University Hospital,blk_00173,15,17
AZIENDA OSPEDALIERA S. LUIGI GONZAGA,blk_00260,14,5
AZIENDA OSPEDALIERA UNIVERSITARIA INTEGRATA VERONA,blk_00261,14,7
Alnylam Pharmaceuticals Inc.,blk_00159,14,5
"Amgen, Inc.",blk_00011,14,15
"BIAL - Portela  Ca, S.A.",blk_00262,14,14
Bayer Consumer Care AG,blk_00015,14,40
Boehringer Ingelheim,blk_00018,14,40
CENTRE LEON BERARD,blk_00153,14,4
CHRU de TOURS,blk_00124,14,11
Cambridge University Hospitals NHS Foundation Trust and the University of Cambridge,blk_00123,14,28
Cancer Research UK,blk_00172,14,9
Centocor B.V.,blk_00263,14,2
Central Manchester University Hospitals NHS Foundation Trust,blk_00264,14,40
Centre Hospitalier Universitaire De Nimes,blk_00265,14,7
Erasmus Medical Center,blk_00029,14,40
Fondazione Gimema Franco Mandelli Onlus,blk_00266,14,3
Fresenius Kabi Deutschland GmbH,blk_00267,14,8
Fundacio Hospital Universitari Vall D’Hebron Institut De Recerca,blk_00268,14,40
GERCOR,blk_00269,14,3
GRUPPO ONCOLOGICO ITALIANO DI RICERCA CLINICA GOIRC,blk_00270,14,7
Galderma S.A.,blk_00252,14,16
GlaxoSmithKline Research and Development,blk_00007,14,40
Herlev Hospital,blk_00271,14,26
Hexal AG,blk_00272,14,7
Hull and East Yorkshire Hospitals NHS Trust,blk_00273,14,23
ImClone LLC,blk_00274,14,2
Institut De Cancerologie De L Ouest,blk_00275,14,2
Instituto Cientfico y Tecnolgico de Navarra,blk_00276,14,9
Intercell AG,blk_00277,14,3
Kite Pharma Inc.,blk_00278,14,3
Klinikum der Universitaet Muenchen AöR,blk_00279,14,12
LFB BIOTECHNOLOGIES,blk_00280,14,6
"Lexicon Pharmaceuticals, Inc.",blk_00281,14,4
Medizinische Universitt Innsbruck,blk_00282,14,40
Merck Sharp  Dohme Europe Inc.,blk_00005,14,40
Novartis Farmacutica S.A.,blk_00001,14,40
Novartis Pharma Service AG,blk_00001,14,40
Orion Corporation Orion Pharma,blk_00256,14,8
"PTC Therapeutics, Inc.",blk_00283,14,6
"Seattle Genetics, Inc.",blk_00284,14,5
Semmelweis University,blk_00285,14,13
Shire Development LLC,blk_00286,14,30
Takeda Pharma GmbH,blk_00046,14,38
The University Of Birmingham,blk_00035,14,36
Universitaetsklinikum Erlangen AöR,blk_00139,14,26
Universitt Leipzig,blk_00184,14,8
University Hospital Tbingen,blk_00287,14,10
University of Southampton,blk_00183,14,20
"Wyeth Research Division of Wyeth Pharmaceuticals Inc., Clinical Research and Development",blk_00107,14,40
sanofi-aventis Recherche  Dveloppement,blk_00033,14,40
AZIENDA OSPEDALIERA ARCISPEDALE S. MARIA NUOVA,blk_00288,13,5
AZIENDA OSPEDALIERA ISTITUTI OSPITALIERI DI VERONA,blk_00111,13,7
AZIENDA OSPEDALIERA UNIVERSITARIA CAREGGI,blk_00289,13,5
AZIENDA SANITARIA OSPEDALIERA  S. GIOVANNI BATTISTA DI TORINO,blk_00076,13,5
Allergan Ltd,blk_00080,13,13
Arbeitsgemeinschaft medikamentse Tumortherapie gemeinntzige GmbH,blk_00290,13,6
Barts and The London NHS Trust,blk_00245,13,12
Barts and the London NHS Trust,blk_00245,13,12
Bayer Consumer Care AG / Bayer AG,blk_00015,13,40
Clnica Universidad de Navarra/Universidad de Navarra,blk_00291,13,5
ETOP IBCSG Partners Foundation,blk_00292,13,3
F.Hoffmann-La Roche Ltd,blk_00006,13,40
Fondazione IRCCS Istituto Nazionale dei Tumori,blk_00073,13,32
Fondazione Italiana Linfomi Ets,blk_00141,13,11
Fresenius Biotech GmbH,blk_00267,13,8
Fundacion GECP,blk_00293,13,5
Fundacion Publica Andaluza Para La Gestion De La Investigacion En Salud De Sevilla,blk_00294,13,27
G.O.N.O. - GRUPPO ONCOLOGICO NORD OVEST,blk_00219,13,8
GLAXO SMITHKLINE,blk_00295,13,5
GRUPPO ONCOLOGICO ITALIANO DI RICERCA,blk_00270,13,7
GW Pharma Ltd,blk_00296,13,8
GlaxoSmithKline Biologicals SA,blk_00007,13,40
Guys  St Thomas NHS Foundation Trust,blk_00220,13,9
Hellenic Cooperative Oncology Group,blk_00297,13,18
INSERM,blk_00204,13,8
Intergroupe Francophone De Cancerologie Thoracique,blk_00298,13,6
Italfarmaco S.p.A.,blk_00254,13,6
Jules Bordet Institute,blk_00105,13,8
Kings College London / South London and Maudsley NHS Foundation Trust,blk_00019,13,40
Laboratorios Alter S.A.,blk_00299,13,2
Merck Serono S.A. - Geneva,blk_00300,13,40
Merck Sharp  Dohme GmbH,blk_00005,13,40
