brand_name_clean,substance_clean
amcinafal,amcinafal
amcinafide,amcinafide
amcinonide,amcinonide
amdinocillin,amdinocillin
amdinocillin pivoxil,amdinocillin pivoxil
amdizalisib,amdizalisib
amdoxovir,amdoxovir
amdray,valspodar
ameile,aumolertinib
ameltolide,ameltolide
ameluz,5-aminolevulinic acid hydrochloride
amen,medroxyprogesterone acetate
amerge,naratriptan hydrochloride
americaine,benzocaine
amerol,aumolertinib
amerscan mdp kit,technetium tc 99m medronate
amesec,ephedrine hydrochloride
amesergide,amesergide
ametop,tetracaine
ametox,sodium thiosulfate
amevive,alefacept
amfecloral,amphecloral
amfenac,amfenac
amfipen,ampicillin
amflutizole,amflutizole
amfonelic acid,amfonelic acid
amgevita,adalimumab
amglidia,glibenclamide
amias,candesartan cilexetil
amibegron,amibegron
amibegron hydrochloride,amibegron hydrochloride
amicar,aminocaproic acid
amicycline,amicycline
amidapsone,amidapsone
amidate,etomidate
amidefrine,amidephrine mesylate
amidephrine mesylate,amidephrine mesylate
amidotrizoic acid,diatrizoic acid
amidox,amiodarone hydrochloride
amifampridine,amifampridine
amifampridine phosphate,amifampridine phosphate
amifampridine serb,amifampridine phosphate
amifloxacin,amifloxacin
amifostine,amifostine
amikacin sulfate,amikacin sulfate
amikin,amikacin sulfate
amilamont,amiloride hydrochloride
amiloride,amiloride
amiloride hydrochloride,amiloride hydrochloride
amiloride hydrochloride component of hydro-ride,amiloride hydrochloride
amiloride hydrochloride component of moduretic,amiloride hydrochloride
amilospare 5,amiloride hydrochloride
amiloxate,amiloxate
aminitrozole,nithiamide
amino acids,amino acids
amino acids component of procalamine,amino acids
aminoacridine,aminacrine
aminocaproic,aminocaproic acid
aminocaproic acid,aminocaproic acid
aminohippurate sodium,aminohippurate sodium
aminolevulinic acid hydrochloride,aminolevulinic acid hydrochloride
aminophyllin,aminophylline
aminophylline,aminophylline
aminophylline dye free,aminophylline
aminorex,aminorex
aminosalicylic acid component of neopasalate,aminosalicylic acid
aminosidine,paromomycin sulfate
aminoxidin,paromomycin sulfate
amiodarone hydrochloride,amiodarone hydrochloride
amipaque,metrizamide
amiselimod,amiselimod
amiselimod hydrochloride,amiselimod hydrochloride
amitid,amitriptyline hydrochloride
amitifadine,amitifadine
amitifadine hydrochloride,amitifadine hydrochloride
amitivir,amitivir
amitiza,lubiprostone
amitraz,amitraz
amitraz component of promeris duo,amitraz
amitril,amitriptyline hydrochloride
amitriptyline hydrochloride,amitriptyline hydrochloride
