"priority","pattern","canonical","match_type","approved","notes"
600,"\bCambridge\s+University\s+Hospitals?\s+Nhs\s+(Foundation\s+)?Trust.*\b|\bAddenbrookes\s+(Hospital\s+)?(Cambridge\s+University\s+Hospitals?\s+)?Nhs\s+(Foundation\s+)?Trust\b","Cambridge University Hospitals NHS Foundation Trust","regex",TRUE,"Migrated from app.R built-in sponsor_aliases"
610,"\b(The\s+)?Royal\s+Marsden\s+Nhsf?\s+(Foundation\s+)?Trust\b","The Royal Marsden NHS Foundation Trust","regex",TRUE,"Migrated from app.R built-in sponsor_aliases"
620,"\b(The\s+)?Newcastle\s+[- ]?\s*Upon\s+[- ]?\s*Tyne\s+(Hospitals\s+)?Nhs\s+(Foundation\s+)?Trust\b|\bNewcastle\s*[- ]\s*Upon\b","Newcastle Upon Tyne Hospitals NHS Foundation Trust","regex",TRUE,"Migrated from app.R built-in sponsor_aliases"
630,"\bNorth\s+Bristol\s+Nhs(\s+Trust)?(\s+NBT)?\b|\bNorth\s+Bristol\s+Trust\b|\bNorth\s+Bristol\s+Nhs\s+Trust\s+(Innovation|Office)\b","North Bristol NHS Trust","regex",TRUE,"Migrated from app.R built-in sponsor_aliases"
640,"\bUniversity\s+Hospitals?\s+Bristol\s+Nhs\s+(Foundation\s+)?Trust\b|\bUniversity\s+Hospital\s+Bristol\s+Nhs\s+Foundation\s+Trust\b|\bUniversity\s+Hosptial\s+Bristol\s+Nhs\s+Foundation\s+Trust\b|\bUniversity\s+Hospitals\s+Bristol\b","University Hospitals Bristol NHS Foundation Trust","regex",TRUE,"Migrated from app.R built-in sponsor_aliases"
650,"\bUnited\s+Bristol\s+(Healthcare\s+)?(Nhs\s+)?Trust\b","University Hospitals Bristol NHS Foundation Trust","regex",TRUE,"Migrated from app.R built-in sponsor_aliases"
660,"\bUniversity\s+Hospitals?\s+Bristol\s+And\s+Weston\s+Nhs\s+Foundation\s+Trust\b","University Hospitals Bristol And Weston NHS Foundation Trust","regex",TRUE,"Migrated from app.R built-in sponsor_aliases"
670,"\bBarts\s+(And\s+)?The\s+London\s+Nhs\s+Trust\b|\bBarts\s+Health\s+Nhs\s+Trust\b","Barts Health NHS Trust","regex",TRUE,"Migrated from app.R built-in sponsor_aliases"
680,"\bLeeds\s+Teaching\s+Hospitals?\s+(Nhs\s+)?Trust\b|\bThe\s+Leeds\s+Teaching\s+Hospitals\s+Nhs\s+Trust\b","Leeds Teaching Hospitals NHS Trust","regex",TRUE,"Migrated from app.R built-in sponsor_aliases"
690,"\bChristie\s+Hospital\s+Nhs\s+(Foundation\s+)?Trust\b|\bThe\s+Christie\s+Nhs\s+Foundation\s+Trust\b","The Christie NHS Foundation Trust","regex",TRUE,"Migrated from app.R built-in sponsor_aliases"
700,"\bNhs\s+Greater\s+Glasgow(\s+And)?\s+Clyde(\s+Health\s+Board)?\b|\bGreater\s+Glasgow\s+Nhs\s+Health\s+Board\b|\bNhs\s+Greater\s+Glasgow\s+Health\s+Board\b","NHS Greater Glasgow And Clyde","regex",TRUE,"Migrated from app.R built-in sponsor_aliases"
710,"\bUniversity\s+Hospital\s+Southampton\s+Nhs\s+(Foundation\s+)?Trust\b|\bSouthampton\s+University\s+Hospitals?\s+(Nhs\s+)?Trust\b|\bUniversity\s+Southampton\s+Hospital\s+Nhs\s+Foundation\s+Trust\b","University Hospital Southampton NHS Foundation Trust","regex",TRUE,"Migrated from app.R built-in sponsor_aliases"
720,"\bHull\s+(And\s+)?East\s+Yorkshire\s+Hospitals?\s+(Nhs\s+)?Trust\b|\bHull\s+University\s+Teaching\s+Hospitals\s+Nhs\s+Trust\b","Hull And East Yorkshire Hospitals NHS Trust","regex",TRUE,"Migrated from app.R built-in sponsor_aliases"
730,"\bBelfast\s+Health\s+(And\s+)?Social\s+Care\s+Trust\b|\bBelfast\s+City\s+Hospital\s+Trust\b","Belfast Health And Social Care Trust","regex",TRUE,"Migrated from app.R built-in sponsor_aliases"
740,"\bRoyal\s+Brompton\s+(And\s+)?Harefield\s+Nhs\s+(Foundation\s+)?Trust\b","Royal Brompton And Harefield NHS Foundation Trust","regex",TRUE,"Migrated from app.R built-in sponsor_aliases"
750,"\bGreat\s+Ormond\s+Street\s+Hospital\s+For\s+Children\s+Nhs\s+(Foundation\s+)?Trust\b","Great Ormond Street Hospital For Children NHS Foundation Trust","regex",TRUE,"Migrated from app.R built-in sponsor_aliases"
760,"\bSheffield\s+Teaching\s+Hospitals?(\s+Nhs\s+Foundation\s+Trust)?\b","Sheffield Teaching Hospitals NHS Foundation Trust","regex",TRUE,"Migrated from app.R built-in sponsor_aliases"
770,"\bUniversity\s+Hospitals?\s+(Of\s+)?Leicester(\s+Nhs\s+Trust)?(\s+Department)?\b|\bUniversity\s+Hospital\s+Leicester\b","University Hospitals Of Leicester NHS Trust","regex",TRUE,"Migrated from app.R built-in sponsor_aliases"
780,"\bUniversity\s+Hospitals?\s+Birmingham(\s+Nhs\s+Foundation\s+Trust)?\b|\bUniversity\s+Hospital\s+Birmingham(\s+Nhs\s+Foundation\s+Trust)?\b|\bUniversity\s+Hospital\s+Of\s+Birmingham\s+Foundation\s+Trust\b","University Hospitals Birmingham NHS Foundation Trust","regex",TRUE,"Migrated from app.R built-in sponsor_aliases"
790,"\b(The\s+)?University\s+Of\s+Birmingham\b|\bUniversity\s+Of\s+Birmingham\s*,?\s*Enterprise\s+Services\b","University Of Birmingham","regex",TRUE,"Migrated from app.R built-in sponsor_aliases"
800,"\b(The\s+)?University\s+Of\s+Oxford\b|\bUniversity\s+Of\s+Oxford\s*,?\s*(CTRG|NDM|Nuffield\s+Department\s+Of\s+Medicine)\b|\bClinical\s+Trials\s+And\s+(Research\s+)?Governance(\s+CTRG)?\s*,?\s*University\s+Of\s+Oxford\b","University Of Oxford","regex",TRUE,"Migrated from app.R built-in sponsor_aliases"
810,"\bUniversity\s+Hospital\s+(Ghent|Gent)\b|\bUZ\s+Gent\b","University Hospital Ghent","regex",TRUE,"Migrated from app.R built-in sponsor_aliases"
820,"\bGhent\s+University\s+Hospital\b|\bUniversitair\s+Ziekenhuis\s+Gent\b","University Hospital Ghent","regex",TRUE,"Migrated from app.R built-in sponsor_aliases"
830,"\bGhent\s+University\b|\bUniversity\s+Ghent\b|\bUniversiteit\s+Gent\b","Ghent University","regex",TRUE,"Migrated from app.R built-in sponsor_aliases"
840,"\bMedical\s+University\s+(Of\s+)?Vienna\b","Medical University Of Vienna","regex",TRUE,"Migrated from app.R built-in sponsor_aliases"
