raw_name,source,suggested_canonical,other_names
Ology Bioservices Ireland LTD,epar_mah,Ology Bioservices,NA
Olympus Biotech International Limited,epar_mah,Olympus Biotech,NA
Oresund Pharma ApS,epar_mah,Oresund Pharma,NA
Orexigen Therapeutics Ireland Limited,epar_mah,Orexigen,NA
OTR3,epar_mah,Otr3,NA
Outlook Therapeutics NL B. V.,epar_mah,Outlook Nl,NA
Pacira Limited,epar_mah,Pacira,Pacira Ireland Limited
Paratek Ireland Limited,epar_mah,Paratek,NA
Parnell Technologies (UK) Limited,epar_mah,Parnell Technologies,NA
Passauer Pharma GmbH,epar_mah,Passauer Pharma,NA
Pharm Research Associates (UK) Limited,epar_mah,Pharm Research Associates,NA
1 A Pharma GmbH,epar_mah,Pharma,NA
Pharmacia Europe EEIG,epar_mah,Pharmacia Eeig,Pharmacia - Pfizer EEIG
PharmaSwiss Ceska Republika s.r.o,epar_mah,Pharmaswiss Ceska Republika,NA
Phoenix Labs Unlimited Company,epar_mah,Phoenix Labs Unlimited,NA
Pinax Pharma GmbH,epar_mah,Pinax Pharma,NA
Pinnacle Biologics B.V. ,epar_mah,Pinnacle Biologics,NA
Piramal Critical Care B.V.,epar_mah,Piramal Critical Care,NA
Plethora Pharma Solutions Limited,epar_mah,Plethora Pharma Solutions,NA
Plusultra pharma GmbH,epar_mah,Plusultra Pharma,NA
Portola Pharma UK Limited,epar_mah,Portola Pharma,NA
Prevtec Microbia GmbH,epar_mah,Prevtec Microbia,NA
Prilenia Therapeutics B.V.,epar_mah,Prilenia,NA
Protherics PLC,epar_mah,Protherics,NA
Purpose Pharma International AB,epar_mah,Purpose Pharma,NA
Qilu Pharma Spain S.L.,epar_mah,Qilu Pharma,NA
Qualimed,epar_mah,Qualimed,NA
RAD Neurim Pharmaceuticals EEC SARL,epar_mah,Rad Neurim Eec,NA
I.D.B. Radiopharmacy B.V.,epar_mah,Radiopharmacy,NA
Rayner Surgical (Ireland) Limited,epar_mah,Rayner Surgical,NA
Reata Ireland Limited,epar_mah,Reata,Crealta Pharmaceuticals Ireland Limited
Reddy Holding GmbH,epar_mah,Reddy Holding,NA
Regulatory Pharma Net S.r.l.,epar_mah,Regulatory Pharma Net,NA
Reliance GeneMedix Plc,epar_mah,Reliance Genemedix,NA
Renable Pharma Limited,epar_mah,Renable Pharma,NA
Repligen Europe Limited,epar_mah,Repligen,NA
Resilience Biomanufacturing Ireland Limited,epar_mah,Resilience Biomanufacturing,NA
Richen Europe S.R.L,epar_mah,Richen,NA
Rilonacept FGK Representative Service GmbH,epar_mah,Rilonacept Fgk Representative Service,NA
Rotterdam Biologics B.V.,epar_mah,Rotterdam Biologics,NA
Samsung Bioepis NL B.V.,epar_mah,Samsung Bioepis Nl,NA
Santhera Pharmaceuticals (Deutschland) GmbH,epar_mah,Santhera Deutschland,NA
Sepracor Ltd.,epar_mah,Sepracor,NA
Seqirus GmbH,epar_mah,Seqirus,Seqirus S.r.l.  | Seqirus Netherlands B.V.
SERB SA,epar_mah,Serb,SERB SAS
Serono Europe Limited,epar_mah,Serono,NA
Serum Life Science Europe GmbH,epar_mah,Serum Life Science,NA
SFL Pharmaceuticals Deutschland GmbH,epar_mah,Sfl Deutschland,NA
Shine Europe B.V.,epar_mah,Shine,NA
SIGA Technologies Netherlands B.V.,epar_mah,Siga Technologies,NA
Sipaco Internacional Lda.,epar_mah,Sipaco Internacional Lda,NA
SK Chemicals GmbH,epar_mah,Sk Chemicals,NA
Sloan Pharma S.a.r.l,epar_mah,Sloan Pharma,NA
SP Europe,epar_mah,Sp Europe,NA
Stada Arzneimittel AG,epar_mah,Stada Arzneimittel,STADA Arzneimittel AG
Strides Pharma (Cyprus) Limited,epar_mah,Strides Pharma,NA
Strongbridge Dublin Limited,epar_mah,Strongbridge Dublin,NA
Sunesis Europe Ltd,epar_mah,Sunesis,NA
Tad Pharma GmbH,epar_mah,Tad Pharma,Taw Pharma (Ireland) Ltd | Taw Pharma (Ireland) Limited | ISTA Pharma Limited | Juta Pharma GmbH
Taiho Pharma Netherlands B.V.,epar_mah,Taiho Pharma,NA
Tanabe Pharma GmbH,epar_mah,Tanabe Pharma,NA
Targanta Netherlands B.V.,epar_mah,Targanta,NA
Techdow Pharma Netherlands B.V. ,epar_mah,Techdow Pharma,NA
Telix Innovations,epar_mah,Telix Innovations,NA
Theramex Ireland Limited,epar_mah,Theramex,NA
TLC Biopharmaceuticals B.V.,epar_mah,Tlc Biopharmaceuticals,NA
TMC Pharma (EU) Limited,epar_mah,Tmc Pharma Eu,TMC Pharma Services Ltd | TMC Pharma Services Ltd.
Topalliance Biosciences Europe Limited,epar_mah,Topalliance,NA
Toray International U.K. Limited,epar_mah,Toray,NA
Tour Hekla,epar_mah,Tour Hekla,NA
Triskel EU Services Ltd,epar_mah,Triskel Eu Services,NA
TriviumVet DAC,epar_mah,Triviumvet Dac,NA
UGA Biopharma,epar_mah,Uga Biopharma,NA
Ultragenyx UK Limited,epar_mah,Ultragenyx,Ultragenyx Germany GmbH
Unigene UK Ltd.,epar_mah,Unigene,NA
Upjohn EESV,epar_mah,Upjohn Eesv,NA
Vaia S.A.,epar_mah,Vaia,NA
Venipharm,epar_mah,Venipharm,NA
Viatris Limited,epar_mah,Viatris,NA
Viatris Healthcare Limited,epar_mah,Viatris Healthcare,NA
Virbac S.A.,epar_mah,Virbac,NA
Viridian Pharma Ltd,epar_mah,Viridian Pharma,NA
Vita (Europe) Limited,epar_mah,Vita,NA
Warner Chilcott  Deutschland GmbH,epar_mah,Warner Chilcott Deutschland,NA
Whiteoak Pharmaceutical B.V.,epar_mah,Whiteoak Pharmaceutical,NA
YES Pharmaceutical Development Services GmbH,epar_mah,Yes Pharmaceutical Development Services,NA
Zaklady FarmaFarmaceutyczne Polpharma S.Aceutyczne Polpharma S.A.,epar_mah,Zaklady Farmafarmaceutyczne Polpharma Aceutyczne Polpharma,NA
Zoetis Belgium,epar_mah,Zoetis,Zoetis Belgium SA
