raw_name,source,suggested_canonical,other_names
Hospira UK Limited,epar_mah,Hospira,NA
Hutchmed Europe B.V.,epar_mah,Hutchmed,NA
HuVepharma,epar_mah,Huvepharma,NA
IDEA AG,epar_mah,Idea,NA
Idorsia Pharmaceuticals Deutschland GmbH,epar_mah,Idorsia Deutschland,NA
Immedica Netherlands B.V.,epar_mah,Immedica,Immedica Pharma AB
Immunitybio Ireland Limited,epar_mah,Immunitybio,NA
Immunocore Ireland Limited,epar_mah,Immunocore,NA
Immunomedics GmbH,epar_mah,Immunomedics,NA
Inceptua AB,epar_mah,Inceptua,NA
Incline Therapeutics Europe Ltd,epar_mah,Incline,NA
Indivior Europe Limited,epar_mah,Indivior,NA
"INFAI, Institut für biomedizinische Analytik  NMR-Imaging GmbH",epar_mah,Infai Institut Fur Biomedizinische Analytik Nmr-Imaging,NA
InflaRx GmbH,epar_mah,Inflarx,NA
Insmed Limited,epar_mah,Insmed,Insmed Europe Ltd | Insmed Netherlands B.V.
"Instituto Grifols, S.A.",epar_mah,Instituto Grifols,"Instituto Grifols S.A. | Instituto Grifols, S.A. "
Intas Third Party Sales 2005 S.L.,epar_mah,Intas Third Party Sales,NA
Intervet International BV,epar_mah,Intervet,NA
Intrabio Ireland Limited,epar_mah,Intrabio,NA
Iovance Biotherapeutics B.V.,epar_mah,Iovance Biotherapeutics,NA
Istituto Gentili S.r.l.,epar_mah,Istituto Gentili,NA
Italfarmaco S.p.A.,epar_mah,Italfarmaco,NA
ITM Medical Isotopes GmbH,epar_mah,Itm Medical Isotopes,NA
Jazz Pharmaceuticals Ireland Limited,epar_mah,Jazz,NA
Jenson Pharmaceutical Services Limited,epar_mah,Jenson Pharmaceutical Services,NA
JensonR+ Limited,epar_mah,Jensonr+,NA
Kalvista Pharmaceuticals (Ireland) Limited,epar_mah,Kalvista,NA
Kamada BioPharma Limited at Fieldfisher LLP,epar_mah,Kamada Biopharma Limited At Fieldfisher Llp,NA
Kedrion S.p.A.,epar_mah,Kedrion,NA
Kiadis Pharma Netherlands B.V.,epar_mah,Kiadis Pharma,NA
Kite Pharma EU B.V.,epar_mah,Kite Pharma Eu,NA
Koanaa Healthcare GmbH,epar_mah,Koanaa Healthcare,NA
Krka,epar_mah,Krka,"KRKA d.d. | KRKA, d.d."
"Krka, d.d., Novo mesto",epar_mah,Krka Novo Mesto,"Krka, d.d., Novo mesto  | KRKA, d.d., Novo mesto"
