entity_key,sponsor_clean_to,sponsor_parent_to,sponsor_group_to,sponsor_type_to,reason
basilea pharmaceutica international allschwil,Basilea Pharmaceutica,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
basilea pharmaceutica international,Basilea Pharmaceutica International Ltd,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
basilea pharmaceutica,Basilea Pharmaceutica,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
bausch lomb,Bausch & Lomb,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
baxalta,Baxalta,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
bcn peptides,BCN Peptides,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
beigene,BeiGene,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
belfast city,Belfast City Hospital,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
belfast health social care,Belfast Health & Social Care Trust,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
beone medicines,BeOne Medicines,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
bergonie,Institut Bergonié,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
berlin chemie menarini,Berlin-Chemie Menarini,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
bethesda diabetes,Bethesda Diabetes Research Center,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
bial portela,"BIAL - Portela C, SA",NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
bio products,Bio Products Laboratory,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
biocryst pharmaceuticals,BioCryst Pharmaceuticals,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
biohaven pharmaceuticals,Biohaven Pharmaceuticals,NA,NA,industry,curated entity canonical from final_sponsor_canonical_review
bioibrica,Bioiberica,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
bionorica,BIONORICA AG,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
biontech cell gene therapies,BioNTech Cell & Gene Therapies GmbH,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
biontech,BioNTech SE,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
biopharma,DS Biopharma,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
bioprojet pharma,Bioprojet Pharma,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
biosciences,YM Biosciences,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
biotech tools,Biotech Tools sa,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
biotics,AB-BIOTICS,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
bioverativ therapeutic,Bioverativ,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
bioversys,BioVersys SAS,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
birmingham childrens,Birmingham Children's Hospital NHS Foundation Trust,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
bispebjerg frederiksberg,Bispebjerg Hospital,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
bispebjerg,Bispebjerg Hospital,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
blue earth diagnostics ireland,Blue Earth Diagnostics Ireland Limited,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
blueprint medicines,Blueprint Medicines,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
bode chemie,BODE Chemie GmbH,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
bone therapeutics,Bone Therapeutics SA,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
bonn,Universitaetsklinikum Bonn,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
boog study,BOOG Study Center,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
bracco imaging,Bracco Imaging,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
braun,B. Braun Medical S.A.,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
brighton sussex,Brighton and Sussex University Hospitals NHS Trust,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
brussel,UZ Brussel,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
bti mas,BTI I MAS D S.L.,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
byondis,Byondis,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
california san francisco,University of California San Francisco,NA,NA,foundation,curated entity canonical from final_sponsor_canonical_review
calliditas therapeutics suisse,Calliditas Therapeutics Suisse SA,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
cambridge addenbrookes,Cambridge University Hospitals NHS Foundation Trust,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
cambridge,Cambridge University Hospitals NHS Foundation Trust,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
cancer cliniques universitaires luc,"Centre du Cancer, Cliniques universitaires Saint-Luc",NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
cancerologie ouest,Institut de Cancérologie de l'Ouest,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
cardiff vale,Cardiff and Vale NHS Trust,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
cardiff,Cardiff University,NA,NA,academic,curated entity canonical from final_sponsor_canonical_review
casa sollievo della sofferenza irccs,Casa Sollievo della Sofferenza,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
cassella med,Cassella-med GmbH & Co. KG,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
cassiopea,Cassiopea,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
catharina ziekenhuis,Catharina Ziekenhuis,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
catharina,Stichting Catharina Hospital,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
cell genesys,Cell Genesys,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
cellcentric,CellCentric,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
cellerix,Cellerix S.A.,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
celtic pharma development bermuda,Celtic Pharma Development Services Bermuda Limited,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
centr georges francois leclerc,Centr Georges Francois Leclerc,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
central manchester childrens,Manchester University NHS Foundation Trust,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
central manchester,Central Manchester Foundation Hospitals Trust,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
central mental health,Central Institute of Mental Health,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
centro nacional investigaciones oncolgicas cnio,Centro Nacional de Investigaciones Oncológicas CNIO,NA,NA,academic,curated entity canonical from final_sponsor_canonical_review
cephalon,Cephalon,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
