cluster_key,entity_key,suggested_canonical,sponsor_labels,aliases_sample,sources,sponsor_types,score,evidence,confidence_bucket,blocked_reason,review_bucket,applied
entity:affimed:auto,affimed,Affimed,Affimed|Affimed GmbH,affimed gmbh|affimed gmbh / affimed gmbh,bulk_reviewed|llm_reviewed,unknown,100,shared alias entity key; shared final-label entity key; curated entity canonical from final_sponsor_canonical_review,auto,NA,A-F,TRUE
entity:afimmune:auto,afimmune,Afimmune Ltd.,Afimmune|Afimmune Ltd.,afimmune|afimmune ltd,bulk_reviewed|llm_reviewed,unknown,100,shared alias entity key; shared final-label entity key; curated entity canonical from final_sponsor_canonical_review,auto,NA,A-F,TRUE
entity:aft pharmaceuticals:auto,aft pharmaceuticals,AFT Pharmaceuticals Ltd,AFT Pharmaceuticals Ltd|AFT Pharmaceuticals Ltd.,aft pharmaceuticals limited|aft pharmaceuticals ltd,llm_reviewed,unknown,100,shared alias entity key; shared final-label entity key; curated entity canonical from final_sponsor_canonical_review,auto,NA,A-F,TRUE
entity:agence nationale recherches sur sida les hpatites virales anrs:auto,agence nationale recherches sur sida les hpatites virales anrs,ANRS,Agence nationale de recherches sur le sida et les hpatites virales. ANRS,agence nationale de recherches sur le sida et les hpatites virales anrs,llm_reviewed,unknown,100,shared alias entity key; shared final-label entity key; curated entity canonical from final_sponsor_canonical_review,auto,NA,A-F,TRUE
entity:agence nationale recherches sur sida les hpatites virales anrs:blocked,agence nationale recherches sur sida les hpatites virales anrs,ANRS,ANRS,agence nationale de recherches sur le sida et les hpatites virales|agence nationale de recherches sur le sida et les hpatites virales anrs|anrs|anrs agence nationale de recherche sur le sida et les hpatites virales,llm_reviewed|manual,public_body,0,shared alias entity key; curated entity canonical from final_sponsor_canonical_review,blocked,combined multi-entity label or alias-only family evidence excluded from auto-map,A-F,FALSE
entity:agence nationale recherches sur sida les hpatites virales:blocked,agence nationale recherches sur sida les hpatites virales,ANRS,ANRS,agence nationale de recherches sur le sida et les hpatites virales|agence nationale de recherches sur le sida et les hpatites virales anrs|anrs|anrs agence nationale de recherche sur le sida et les hpatites virales,llm_reviewed|manual,public_body,0,shared alias entity key; curated entity canonical from final_sponsor_canonical_review; generated from target sponsor aliases,blocked,combined multi-entity label or alias-only family evidence excluded from auto-map,A-F,FALSE
entity:agi therapeutics:auto,agi therapeutics,AGI Therapeutics Limited,AGI Therapeutics Limited|AGI Therapeutics Research Ltd,agi therapeutics limited|agi therapeutics research ltd,bulk_reviewed,unknown,100,shared alias entity key; shared final-label entity key; curated entity canonical from final_sponsor_canonical_review,auto,NA,A-F,TRUE
entity:aibili association innovation biomedical light image:auto,aibili association innovation biomedical light image,AIBILI,AIBILI - Association for Innovation and Biomedical Research on Light and Image,aibili - association for innovation and biomedical research on light and image,llm_reviewed,unknown,100,shared alias entity key; shared final-label entity key; curated entity canonical from final_sponsor_canonical_review,auto,NA,A-F,TRUE
entity:aibili association innovation biomedical light image:blocked,aibili association innovation biomedical light image,AIBILI,AIBILI,aibili|aibili - association for innovation and biomedical research ob light and image|aibili association for innovation and biomedical research on light and image,llm_reviewed,unknown,0,shared alias entity key; curated entity canonical from final_sponsor_canonical_review,blocked,combined multi-entity label or alias-only family evidence excluded from auto-map,A-F,FALSE
entity:aibili:auto,aibili,AIBILI,AIBILI,aibili|aibili - association for innovation and biomedical research ob light and image|aibili association for innovation and biomedical research on light and image,llm_reviewed,unknown,100,shared alias entity key; shared final-label entity key; curated entity canonical from final_sponsor_canonical_review; generated from target sponsor aliases,auto,NA,A-F,TRUE
entity:aintree liverpool:auto,aintree liverpool,Aintree Hospitals NHS Trust and University of Liverpool,Aintree Hospitals NHS Trust and University of Liverpool,aintree hospitals nhs trust and university of liverpool,llm_reviewed,hospital,100,shared alias entity key; shared final-label entity key; curated entity canonical from final_sponsor_canonical_review,auto,NA,A-F,TRUE
entity:aintree liverpool:blocked,aintree liverpool,Aintree Hospitals NHS Trust and University of Liverpool,University of Liverpool,aintree university hospital nhs foundation trust / university of liverpool|liverpool university|royal liverpool and broadgreen university hospital / university of liverpool|royal liverpool and broadgreen university hospitals nhs trust / university of liverpool|royal liverpool broadgreen university hospitals trust / university of liverpool|the university of liverpool / aintree university hospital nhs trust|the university of liverpool / the royal liverpool and broadgreen university hospitals nhs trust|university of liverpool,llm_reviewed|manual,academic,0,shared alias entity key; curated entity canonical from final_sponsor_canonical_review,blocked,combined multi-entity label or alias-only family evidence excluded from auto-map,A-F,FALSE
entity:aintree:auto,aintree,University Hospital Aintree NHS Trust,Aintree University Hospitals NHS Trust|University Hospital Aintree NHS Trust,aintree university hospitals nhs trust|university hospital aintree nhs trust,llm_reviewed,hospital,100,shared alias entity key; shared final-label entity key; curated entity canonical from final_sponsor_canonical_review,auto,NA,A-F,TRUE
entity:air liquide sante international:auto,air liquide sante international,Air Liquide,Air Liquide Santé International,air liquide sant international|air liquide sante international,llm_reviewed,unknown,100,shared alias entity key; shared final-label entity key; curated entity canonical from final_sponsor_canonical_review,auto,NA,A-F,TRUE
