raw_substance,n_trials
"Allogeneic, non-expanded, umbilical cord blood-derived, hematopoietic mature myeloid and lymphoid cells",1
Beta-blockers,1
MK-3655,1
NOTAVAILABLE,1
NotApplicable,1
POLIOVIRUS INACTIVADO TIPO 1 CEPA MAHONEY,1
POLIOVIRUS INACTIVADO TIPO 2 CEPA MEF-1,1
Poliovirus Tipo 3 Inattivato decima DS,1
Polisaccaride dellHaemophilus influenzae di tipo b Poliribosilribitol Fosfato undicesima DS,1
Polisaccaride dellHaemophilus influenzae di tipo b coniugato alla proteina meningococcica adsorbito su alluminio idrossifosfato solfato amorfo dodic,1
Polisaccaride pneumococcico sierotipo 1,1
Polisaccaride pneumococcico sierotipo 1 coniugato a CRM197,1
Polisaccaride pneumococcico sierotipo 14,1
Polisaccaride pneumococcico sierotipo 18C coniugato a CRM197,1
Polisaccaride pneumococcico sierotipo 19A,1
Polisaccaride pneumococcico sierotipo 19A coniugato a CRM197,1
Polisaccaride pneumococcico sierotipo 19F,1
Polisaccaride pneumococcico sierotipo 19F coniugato a CRM197,1
Polisaccaride pneumococcico sierotipo 22F coniugato a CRM197,1
Polisaccaride pneumococcico sierotipo 23F,1
Polisaccaride pneumococcico sierotipo 23F coniugato a CRM197,1
Polisaccaride pneumococcico sierotipo 3,1
Polisaccaride pneumococcico sierotipo 3 coniugato a CRM197,1
Polisaccaride pneumococcico sierotipo 4,1
Polisaccaride pneumococcico sierotipo 4 coniugato a CRM197,1
Polisaccaride pneumococcico sierotipo 6B,1
Polisaccaride pneumococcico sierotipo 6B coniugato a CRM197,1
Polisaccaride pneumococcico sierotipo 7F,1
Polisaccaride pneumococcico sierotipo 7F coniugato a CRM197,1
Polisaccaride pneumococcico sierotipo 9V,1
Protease inhibitor,1
VACCINO HAEMOPHILUS INFLUENZAE B CONIUGATO CON PROTEINA DIFTERICA CRM197,1
Vacuna-10,1
Vacuna-11,1
Vacuna-12,1
Vacuna-13,1
Vietnam,1
"Whole virion non-adjuvanted influenza virus, propagated in Vero cells, inactivated, containing antigen of A",1
non-nucleoside reverse transcriptase inhibitors,1
nucleoside and nucleotide reverse transcriptase inhibitors,1
