alias_clean,substance_clean,alias_type,source
kadcyla,trastuzumab emtansine,ema_product_name,epar
ziihera,zanidatamab,ema_product_name,epar
startvac,"escherichia coli j5 inactivated|staphylococcus aureus (cp8) strain sp 140 inactivated, expressing slime-associated antigenic complex",ema_product_name,epar
lonquex,lipegfilgrastim,ema_product_name,epar
entyvio,vedolizumab,ema_product_name,epar
rimmyrah,ranibizumab,ema_product_name,epar
rezzayo,rezafungin,ema_product_name,epar
zolgensma,onasemnogene abeparvovec,ema_product_name,epar
grasustek,pegfilgrastim,ema_product_name,epar
tecovirimat siga,tecovirimat,ema_product_name,epar
sitagliptin / metformin hydrochloride mylan,sitagliptin hydrochloride monohydrate|metformin hydrochloride,ema_product_name,epar
tadalafil mylan,tadalafil,ema_product_name,epar
zutectra,human hepatitis b immunoglobulin,ema_product_name,epar
emtricitabine/tenofovir disoproxil mylan,emtricitabine|tenofovir disoproxil maleate,ema_product_name,epar
efavirenz/emtricitabine/tenofovir disoproxil mylan,efavirenz|emtricitabine|tenofovir disoproxil maleate,ema_product_name,epar
sugammadex mylan,sugammadex sodium,ema_product_name,epar
lenalidomide mylan,lenalidomide,ema_product_name,epar
fulvestrant mylan,fulvestrant,ema_product_name,epar
amlodipine / valsartan mylan,amlodipine besilate|valsartan,ema_product_name,epar
fingolimod mylan,fingolimod,ema_product_name,epar
deferasirox mylan,deferasirox,ema_product_name,epar
azacitidine mylan,azacitidine,ema_product_name,epar
posaconazole accord,posaconazole,ema_product_name,epar
anktiva,nogapendekin alfa inbakicept,ema_product_name,epar
tenofovir disoproxil zentiva,tenofovir disoproxil phosphate,ema_product_name,epar
brineura,cerliponase alfa,ema_product_name,epar
duoplavin,clopidogrel|acetylsalicylic acid,ema_product_name,epar
livtencity,maribavir,ema_product_name,epar
voxzogo,vosoritide,ema_product_name,epar
qtern,saxagliptin|dapagliflozin propanediol monohydrate,ema_product_name,epar
edistride,dapagliflozin propanediol monohydrate,ema_product_name,epar
forxiga,dapagliflozin propanediol monohydrate,ema_product_name,epar
byannli (previously paliperidone janssen-cilag international),paliperidone palmitate,ema_product_name,epar
oczyesa,octreotide hydrochloride,ema_product_name,epar
vargatef,nintedanib,ema_product_name,epar
crysvita,burosumab,ema_product_name,epar
jemperli,dostarlimab,ema_product_name,epar
zejula,niraparib (tosilate monohydrate),ema_product_name,epar
slenyto,melatonin,ema_product_name,epar
upstaza,eladocagene exuparvovec,ema_product_name,epar
bysumlog,insulin lispro,ema_product_name,epar
dovprela (previously pretomanid fgk),pretomanid,ema_product_name,epar
scintimun,besilesomab,ema_product_name,epar
kineret,anakinra,ema_product_name,epar
orphacol,cholic acid,ema_product_name,epar
efmody,hydrocortisone,ema_product_name,epar
omjjara,momelotinib dihydrochloride monohydrate,ema_product_name,epar
yescarta,axicabtagene ciloleucel,ema_product_name,epar
